title,price,link
"Dell Alienware x16 Gaming Laptop, Intel Core i9 13900HK Processor/32GB/2TB SSD/NVIDIA RTX 4090 16GB GDDR6/ 16""(40.64cm) QHD+ 240Hz, 3ms, DCI-P3 100%/Win 11+MSO'21+McAfee 15 Month/Lunar Silver/2.72kg  ","4,54,230",https://amazon.in//Dell-Alienware-x16-13900HK-Processor/dp/B0C4Z7D2V9/ref=sr_1_243?crid=V4MX297CAMU7&dib=eyJ2IjoiMSJ9.aLritixPmzP8_Ujsf4KAAKwzJnvIuJQZ2na4mh6bYna1o9-mAmH0BnnVa9haYGLYUH4oAtSVSc53xkmSZnC2YMvGxj-sKmg6tdOvtlu_xQxquqGmh02Csk1pQp71RfJr86XWIjax7DyMKIe-C4aW1nHpXLUT1sn49UAOEZId7OAVddndxSHREnMfoHo1Oe2vIO5giT6Q4fPlyaExnO-e1kDuYbEWNlezQoPImipK6HM.56QUlljCsecCnuWuDOD6fb0MkwmvuZNO9HErsokwB9o&dib_tag=se&keywords=laptop&qid=1719412640&sprefix=lap%2Caps%2C246&sr=8-243
"Dell Alienware m18 R1 Gaming Laptop, Intel Core i9-13980HX Processor/64GB/1TB SSD/18.0"" (45.72cm) QHD+ FHD 165Hz/NVIDIA RTX 4090 16GB GDDR6/Win 11 + MSO'21/15 Month McAfee/Dark Metallic Moon/2.72kg  ","3,99,990",https://amazon.in//Dell-Alienware-i9-13980HX-Processor-Metallic/dp/B0C9F1VXCJ/ref=sr_1_247?crid=V4MX297CAMU7&dib=eyJ2IjoiMSJ9.VtadRDAvcJpEptPddSvZoBjtMjAQ6rkVelfPlLyKbD17Va4eo7TfG8_MGv7InRahebk9SAV1cNkyiOji8gMtsUdSsur7yAriyLkZ0sMlPwbiyFf8UNlli-sqg7-ETMwlg7bT4ymjatpfkQbxGsV80in6XoIRAJcO6Q_qZVO8Nsz8TPY8bpZt0KF2t_q2hQOFeHcQfmxlF6DQsoMAcTw83B9qfQEKhb5IFE7Lc6LvaeE.R8YrcixFQJbSBjpFNpsKYOSR0NjAQfKejqeV3VlPbg4&dib_tag=se&keywords=laptop&qid=1719412642&sprefix=lap%2Caps%2C246&sr=8-247
"Apple 2023 MacBook Pro (16-inch, M3 Max chip with 16â€‘core CPU and 40â€‘core GPU, 48GB Unified Memory, 1TB) - Space Black  ","3,79,990",https://amazon.in//Apple-MacBook-16-inch-16%E2%80%91core-40%E2%80%91core/dp/B0CM5SZ7CP/ref=sr_1_266?crid=V4MX297CAMU7&dib=eyJ2IjoiMSJ9.-0HwiKQYQ7o22FldICL3xVEnbGSFwkrybVWuPnUQ-0GswJhe-Ud9VFXQunqssnyK9LHA1M3pQCzDnC8uvIso6RAVsZKMrkr212ez7vRE8_7hG1CbuC8-tlHvjwG8YiFOXqHDCVYHKlasJnHPODKUnIVNG2iRcqdL52_0gTvuv8VaGsHVEqtSpvYhwyg47mlwrRYMtD94FI8JYRizzQ7KpovBMa0zKdSL26LTtPvbLMI.pSpMPJhlVYy-xC5sbPjIq6-UThs0fyrdYd9tAqYD-Ww&dib_tag=se&keywords=laptop&qid=1719412645&sprefix=lap%2Caps%2C246&sr=8-266
"Apple 2023 MacBook Pro (16-inch, M3 Max chip with 16â€‘core CPU and 40â€‘core GPU, 48GB Unified Memory, 1TB) - Space Black  ","3,79,990",https://amazon.in//Apple-MacBook-16-inch-16%E2%80%91core-40%E2%80%91core/dp/B0CM5SZ7CP/ref=sr_1_299?crid=V4MX297CAMU7&dib=eyJ2IjoiMSJ9.l_hp1IHXTPhHMBybmpwmYqX_6wlXrO21drBL5URW3Ec_YNdO7dC9SPuVKw3DK7rGIWkJKsK9BOG57vaaAXcEG-s7V3zeMOzM9nCGtjD6T-5bkiycv4r8y-Nq2w2ht0dtf2gOHH84ifU068MCLykf8YtioOGP7xVID0KP_1OZGWjVMeL-q4pW2wfMx6vuEUPGEzYjaNpC1feAbJyVon3mE5rbhKuq9HQn6xWv2m85Meg.2zzK4yWFF1sZTG4lvhTA1KdNAm4B60kdE2c-Pp1S3s8&dib_tag=se&keywords=laptop&qid=1719412651&sprefix=lap%2Caps%2C246&sr=8-299
"Dell [Smartchoice Alienware M16 R2 Gaming Laptop,Intel Ultra 9 185H,32GB DDR5,1TB SSD,Nvidia RTX 4070 8 Gb GDDR6,16 (40.6Cm) QHD+ 240Hz,Nvidia G-Sync +Alienfx RGB Backlit Kb,Dark Metallic,2.61Kg  ","2,12,560",https://amazon.in//Dell-Smartchoice-Alienware-Alienfx-Metallic/dp/B0CYLXD4K5/ref=sr_1_273?crid=V4MX297CAMU7&dib=eyJ2IjoiMSJ9.-0HwiKQYQ7o22FldICL3xVEnbGSFwkrybVWuPnUQ-0GswJhe-Ud9VFXQunqssnyK9LHA1M3pQCzDnC8uvIso6RAVsZKMrkr212ez7vRE8_7hG1CbuC8-tlHvjwG8YiFOXqHDCVYHKlasJnHPODKUnIVNG2iRcqdL52_0gTvuv8VaGsHVEqtSpvYhwyg47mlwrRYMtD94FI8JYRizzQ7KpovBMa0zKdSL26LTtPvbLMI.pSpMPJhlVYy-xC5sbPjIq6-UThs0fyrdYd9tAqYD-Ww&dib_tag=se&keywords=laptop&qid=1719412645&sprefix=lap%2Caps%2C246&sr=8-273
"Dell [Smartchoice Alienware M16 R2 Gaming Laptop,Intel Ultra 9 185H,32GB DDR5,1TB SSD,Nvidia RTX 4070 8 Gb GDDR6,16 (40.6Cm) QHD+ 240Hz,Nvidia G-Sync +Alienfx RGB Backlit Kb,Dark Metallic,2.61Kg  ","2,12,560",https://amazon.in//Dell-Smartchoice-Alienware-Alienfx-Metallic/dp/B0CYLXD4K5/ref=sr_1_304?crid=V4MX297CAMU7&dib=eyJ2IjoiMSJ9.l_hp1IHXTPhHMBybmpwmYqX_6wlXrO21drBL5URW3Ec_YNdO7dC9SPuVKw3DK7rGIWkJKsK9BOG57vaaAXcEG-s7V3zeMOzM9nCGtjD6T-5bkiycv4r8y-Nq2w2ht0dtf2gOHH84ifU068MCLykf8YtioOGP7xVID0KP_1OZGWjVMeL-q4pW2wfMx6vuEUPGEzYjaNpC1feAbJyVon3mE5rbhKuq9HQn6xWv2m85Meg.2zzK4yWFF1sZTG4lvhTA1KdNAm4B60kdE2c-Pp1S3s8&dib_tag=se&keywords=laptop&qid=1719412651&sprefix=lap%2Caps%2C246&sr=8-304
"ASUS ROG Strix G16 (2024), 16 ""(40.64cm) QHD+ 240Hz, Intel Core i9 14900HX, Gaming Laptop (16GB DDR5/1TB SSD/NVIDIA GeForce RTX 4070 /Windows 11/Office 2021/Eclipse Gray/2.50 Kg), G614JIR-N4062WS  ","1,99,490",https://amazon.in//ASUS-40-64cm-14900HX-GeForce-G614JIR-N4062WS/dp/B0D25V5MSM/ref=sr_1_212?crid=V4MX297CAMU7&dib=eyJ2IjoiMSJ9.p3llVVPt4cbV_Q1X7kfcr-5otKpmjySNgEdISahFxcX6jZAEghwKrnN7nzTdCpme9BiiltIDR7EDeQXsMVvGG1o48UOYiX9H3Vg8SxIrNH07NVG5tPjx0-KJIxuMv9RGxLqSNGdS04OWk5D5TzkHg0-VD8SMedfkdU-2P2m841aOM97Z1DVcri_7tLptWCESSOC5SFstAuwfpLtaZCmDZgTk9bT8TgoN3Abqw6v6cQY.0AjuA4HtnbTQp0hvHFMZhSEFgb1_Rg2iud_pM8G48bQ&dib_tag=se&keywords=laptop&qid=1719412635&sprefix=lap%2Caps%2C246&sr=8-212
HP Omen 12th Gen Intel Core i7-12800HX 17.3 inch(43.9cm) QHD Gaming Laptop(32GB RAM/1TB SSD/RTX 3070Ti 8GB Graphics/165Hz/3ms Response Time/Win 11/MSO 2021/Backlit KB/B&O/Alexa/Xbox Pass) 17-ck1022TX  ,"1,89,990",https://amazon.in//HP-i7-12800HX-Graphics-Response-17-ck1022TX/dp/B0BBMRNG18/ref=sr_1_102?crid=V4MX297CAMU7&dib=eyJ2IjoiMSJ9.cTMjl7pMQVQwGFPpdrDueC4lLBpD4s7w-ZyOkS1oRtwZ_n7MgY401IbDdP1nqUEbQfJZKy8EN6bON-hJTV2dj-3RojKJ4vVixKWuVA4Qh8RE9MFmmJ5HwNcFPp1IY2fgPwtZ9qQwvPU1WGa7VZKwU1F1LwY4veMierysnafRgU4kjzA8Jj3nsahsHqPzCkSR5DU-CS6HvTbZjFU8irffsqaWMBYixrehmjKt3HbQS8w.Y2PSo-pCcNcSGMkF3BpB8dkjSgl-cVgWFlI4axPzF_s&dib_tag=se&keywords=laptop&qid=1719412613&sprefix=lap%2Caps%2C246&sr=8-102
"Dell Alienware x14 R2 Gaming Laptop, Intel Core i7-13620H/32GB/1TB SSD/NVIDIA RTX 4060 8GB GDDR6/14'' (35.56Cms) QHD+ 165Hz, 3ms, 300nits/Win 11+MSO'21+McAfee 15 Month/Lunar Silver/2.08Kgs  ","1,57,990",https://amazon.in//Dell-Alienware-x14-R2-i7-13620H/dp/B0C4ZP6QX5/ref=sr_1_227?crid=V4MX297CAMU7&dib=eyJ2IjoiMSJ9.p3llVVPt4cbV_Q1X7kfcr-5otKpmjySNgEdISahFxcX6jZAEghwKrnN7nzTdCpme9BiiltIDR7EDeQXsMVvGG1o48UOYiX9H3Vg8SxIrNH07NVG5tPjx0-KJIxuMv9RGxLqSNGdS04OWk5D5TzkHg0-VD8SMedfkdU-2P2m841aOM97Z1DVcri_7tLptWCESSOC5SFstAuwfpLtaZCmDZgTk9bT8TgoN3Abqw6v6cQY.0AjuA4HtnbTQp0hvHFMZhSEFgb1_Rg2iud_pM8G48bQ&dib_tag=se&keywords=laptop&qid=1719412635&sprefix=lap%2Caps%2C246&sr=8-227
"Dell Alienware x14 R2 Gaming Laptop, Intel Core i7-13620H/32GB/1TB SSD/NVIDIA RTX 4060 8GB GDDR6/14'' (35.56Cms) QHD+ 165Hz, 3ms, 300nits/Win 11+MSO'21+McAfee 15 Month/Lunar Silver/2.08Kgs  ","1,57,990",https://amazon.in//Dell-Alienware-x14-R2-i7-13620H/dp/B0C4ZP6QX5/ref=sr_1_227?crid=V4MX297CAMU7&dib=eyJ2IjoiMSJ9.aLritixPmzP8_Ujsf4KAAKwzJnvIuJQZ2na4mh6bYna1o9-mAmH0BnnVa9haYGLYUH4oAtSVSc53xkmSZnC2YMvGxj-sKmg6tdOvtlu_xQxquqGmh02Csk1pQp71RfJr86XWIjax7DyMKIe-C4aW1nHpXLUT1sn49UAOEZId7OAVddndxSHREnMfoHo1Oe2vIO5giT6Q4fPlyaExnO-e1kDuYbEWNlezQoPImipK6HM.56QUlljCsecCnuWuDOD6fb0MkwmvuZNO9HErsokwB9o&dib_tag=se&keywords=laptop&qid=1719412640&sprefix=lap%2Caps%2C246&sr=8-227
